13,1,0
15,0,1
18,0,1
20,0,1
26,0,1
39,0,1
52,0,1
54,1,0
62,1,0
68,1,0
70,1,0
70,0,1
75,0,1
84,0,1
87,0,1
87,0,1
96,1,0
97,1,0
108,0,1
110,0,1
112,0,1
113,0,1
113,0,1
119,0,1
131,1,0
132,0,1
139,1,0
142,0,1
148,0,1
154,0,1
161,0,1
161,0,1
169,0,1
171,1,0
172,0,1
175,0,1
176,0,1
178,0,1
179,0,1
183,0,1
184,0,1
187,0,1
196,0,1
203,1,0
207,0,1
208,0,1
208,0,1
211,0,1
211,0,1
214,0,1
217,0,1
221,1,0
226,0,1
231,0,1
232,0,1
234,0,1
235,0,1
245,0,1
247,1,0
255,1,0
256,0,1
259,0,1
260,0,1
262,0,1
264,0,1
273,1,0
274,0,1
